Neighborhood,Town,topic,displayTopic,indicator,value,type
Asylum Hill,Hartford,age,Age,Total population,9859.0,table
Barry Square,Hartford,age,Age,Total population,15485.0,table
Behind the Rocks,Hartford,age,Age,Total population,8484.0,table
Bishops Corner West,Hartford,age,Age,Total population,8010.0,table
Blue Hills,Hartford,age,Age,Total population,12067.0,table
Clay Arsenal,Hartford,age,Age,Total population,6608.0,table
Downtown,Hartford,age,Age,Total population,2001.0,table
Frog Hollow,Hartford,age,Age,Total population,9421.0,table
Northeast,Hartford,age,Age,Total population,10946.0,table
Parkville,Hartford,age,Age,Total population,4455.0,table
Sheldon Charter Oak,Hartford,age,Age,Total population,3286.0,table
South End & South Meadows,Hartford,age,Age,Total population,14590.0,table
South Green,Hartford,age,Age,Total population,2132.0,table
Southwest,Hartford,age,Age,Total population,7423.0,table
Upper Albany,Hartford,age,Age,Total population,6909.0,table
West End,Hartford,age,Age,Total population,10046.0,table
Buena Vista,West Hartford,age,Age,Total population,2698.0,table
Corbins Corner,West Hartford,age,Age,Total population,4383.0,table
Elizabeth Park,West Hartford,age,Age,Total population,4393.0,table
Farmington East,West Hartford,age,Age,Total population,10565.0,table
Golf Acres,West Hartford,age,Age,Total population,7192.0,table
Kennedy Park,West Hartford,age,Age,Total population,3990.0,table
Mountain West,West Hartford,age,Age,Total population,4452.0,table
New Park,West Hartford,age,Age,Total population,6142.0,table
Rockledge,West Hartford,age,Age,Total population,6541.0,table
West Hartford Center,West Hartford,age,Age,Total population,4922.0,table
Hartford,,age,Age,Total population,124795.0,table
West Hartford,,age,Age,Total population,63288.0,table
Connecticut,,age,Age,Total population,3593222.0,table
Asylum Hill,Hartford,age,Age,Population ages 0-17,1795.0,table
Barry Square,Hartford,age,Age,Population ages 0-17,4042.0,table
Behind the Rocks,Hartford,age,Age,Population ages 0-17,2385.0,table
Bishops Corner West,Hartford,age,Age,Population ages 0-17,1992.0,table
Blue Hills,Hartford,age,Age,Population ages 0-17,2490.0,table
Clay Arsenal,Hartford,age,Age,Population ages 0-17,2357.0,table
Downtown,Hartford,age,Age,Population ages 0-17,39.0,table
Frog Hollow,Hartford,age,Age,Population ages 0-17,2846.0,table
Northeast,Hartford,age,Age,Population ages 0-17,3399.0,table
Parkville,Hartford,age,Age,Population ages 0-17,1143.0,table
Sheldon Charter Oak,Hartford,age,Age,Population ages 0-17,795.0,table
South End & South Meadows,Hartford,age,Age,Population ages 0-17,4030.0,table
South Green,Hartford,age,Age,Population ages 0-17,512.0,table
Southwest,Hartford,age,Age,Population ages 0-17,1712.0,table
Upper Albany,Hartford,age,Age,Population ages 0-17,2101.0,table
West End,Hartford,age,Age,Population ages 0-17,1400.0,table
Buena Vista,West Hartford,age,Age,Population ages 0-17,569.0,table
Corbins Corner,West Hartford,age,Age,Population ages 0-17,925.0,table
Elizabeth Park,West Hartford,age,Age,Population ages 0-17,1180.0,table
Farmington East,West Hartford,age,Age,Population ages 0-17,1942.0,table
Golf Acres,West Hartford,age,Age,Population ages 0-17,1432.0,table
Kennedy Park,West Hartford,age,Age,Population ages 0-17,857.0,table
Mountain West,West Hartford,age,Age,Population ages 0-17,1255.0,table
New Park,West Hartford,age,Age,Population ages 0-17,1132.0,table
Rockledge,West Hartford,age,Age,Population ages 0-17,1673.0,table
West Hartford Center,West Hartford,age,Age,Population ages 0-17,1278.0,table
Hartford,,age,Age,Population ages 0-17,31059.0,table
West Hartford,,age,Age,Population ages 0-17,14235.0,table
Connecticut,,age,Age,Population ages 0-17,784736.0,table
Asylum Hill,Hartford,age,Age,Percent ages 0-17,0.182,map
Barry Square,Hartford,age,Age,Percent ages 0-17,0.261,map
Behind the Rocks,Hartford,age,Age,Percent ages 0-17,0.281,map
Bishops Corner West,Hartford,age,Age,Percent ages 0-17,0.249,map
Blue Hills,Hartford,age,Age,Percent ages 0-17,0.206,map
Clay Arsenal,Hartford,age,Age,Percent ages 0-17,0.357,map
Downtown,Hartford,age,Age,Percent ages 0-17,0.019,map
Frog Hollow,Hartford,age,Age,Percent ages 0-17,0.302,map
Northeast,Hartford,age,Age,Percent ages 0-17,0.311,map
Parkville,Hartford,age,Age,Percent ages 0-17,0.257,map
Sheldon Charter Oak,Hartford,age,Age,Percent ages 0-17,0.242,map
South End & South Meadows,Hartford,age,Age,Percent ages 0-17,0.276,map
South Green,Hartford,age,Age,Percent ages 0-17,0.24,map
Southwest,Hartford,age,Age,Percent ages 0-17,0.231,map
Upper Albany,Hartford,age,Age,Percent ages 0-17,0.304,map
West End,Hartford,age,Age,Percent ages 0-17,0.139,map
Buena Vista,West Hartford,age,Age,Percent ages 0-17,0.211,map
Corbins Corner,West Hartford,age,Age,Percent ages 0-17,0.211,map
Elizabeth Park,West Hartford,age,Age,Percent ages 0-17,0.269,map
Farmington East,West Hartford,age,Age,Percent ages 0-17,0.184,map
Golf Acres,West Hartford,age,Age,Percent ages 0-17,0.199,map
Kennedy Park,West Hartford,age,Age,Percent ages 0-17,0.215,map
Mountain West,West Hartford,age,Age,Percent ages 0-17,0.282,map
New Park,West Hartford,age,Age,Percent ages 0-17,0.184,map
Rockledge,West Hartford,age,Age,Percent ages 0-17,0.256,map
West Hartford Center,West Hartford,age,Age,Percent ages 0-17,0.26,map
Hartford,,age,Age,Percent ages 0-17,0.249,table
West Hartford,,age,Age,Percent ages 0-17,0.225,table
Connecticut,,age,Age,Percent ages 0-17,0.218,table
Asylum Hill,Hartford,age,Age,Population ages 65+,960.0,table
Barry Square,Hartford,age,Age,Population ages 65+,1097.0,table
Behind the Rocks,Hartford,age,Age,Population ages 65+,697.0,table
Bishops Corner West,Hartford,age,Age,Population ages 65+,1742.0,table
Blue Hills,Hartford,age,Age,Population ages 65+,1339.0,table
Clay Arsenal,Hartford,age,Age,Population ages 65+,475.0,table
Downtown,Hartford,age,Age,Population ages 65+,225.0,table
Frog Hollow,Hartford,age,Age,Population ages 65+,659.0,table
Northeast,Hartford,age,Age,Population ages 65+,1154.0,table
Parkville,Hartford,age,Age,Population ages 65+,500.0,table
Sheldon Charter Oak,Hartford,age,Age,Population ages 65+,446.0,table
South End & South Meadows,Hartford,age,Age,Population ages 65+,1145.0,table
South Green,Hartford,age,Age,Population ages 65+,270.0,table
Southwest,Hartford,age,Age,Population ages 65+,981.0,table
Upper Albany,Hartford,age,Age,Population ages 65+,798.0,table
West End,Hartford,age,Age,Population ages 65+,1276.0,table
Buena Vista,West Hartford,age,Age,Population ages 65+,609.0,table
Corbins Corner,West Hartford,age,Age,Population ages 65+,843.0,table
Elizabeth Park,West Hartford,age,Age,Population ages 65+,719.0,table
Farmington East,West Hartford,age,Age,Population ages 65+,2091.0,table
Golf Acres,West Hartford,age,Age,Population ages 65+,1793.0,table
Kennedy Park,West Hartford,age,Age,Population ages 65+,380.0,table
Mountain West,West Hartford,age,Age,Population ages 65+,758.0,table
New Park,West Hartford,age,Age,Population ages 65+,640.0,table
Rockledge,West Hartford,age,Age,Population ages 65+,956.0,table
West Hartford Center,West Hartford,age,Age,Population ages 65+,646.0,table
Hartford,,age,Age,Population ages 65+,12022.0,table
