Neighborhood,indicator,value,topic
Westville,Child low-income rate,0.081,income_age
East Shore,Child low-income rate,0.116,income_age
East Rock,Child low-income rate,0.332,income_age
Downtown,Child low-income rate,0.401,income_age
Prospect Hill,Child low-income rate,0.439,income_age
Edgewood,Child low-income rate,0.476,income_age
Fair Haven Heights,Child low-income rate,0.506,income_age
Amity,Child low-income rate,0.523,income_age
Beaver Hills,Child low-income rate,0.543,income_age
Annex,Child low-income rate,0.63,income_age
Quinnipiac Meadows,Child low-income rate,0.631,income_age
Wooster Square/Mill River,Child low-income rate,0.729,income_age
Fair Haven,Child low-income rate,0.734,income_age
Newhallville,Child low-income rate,0.75,income_age
West River,Child low-income rate,0.755,income_age
West Rock,Child low-income rate,0.757,income_age
Dixwell,Child low-income rate,0.772,income_age
Dwight,Child low-income rate,0.882,income_age
Hill,Child low-income rate,0.915,income_age
East Shore,Child poverty rate,0.0,income_age
Westville,Child poverty rate,0.022,income_age
Prospect Hill,Child poverty rate,0.131,income_age
Fair Haven Heights,Child poverty rate,0.158,income_age
Edgewood,Child poverty rate,0.169,income_age
East Rock,Child poverty rate,0.172,income_age
Beaver Hills,Child poverty rate,0.287,income_age
Amity,Child poverty rate,0.329,income_age
Downtown,Child poverty rate,0.365,income_age
West River,Child poverty rate,0.399,income_age
Annex,Child poverty rate,0.404,income_age
Quinnipiac Meadows,Child poverty rate,0.439,income_age
Dwight,Child poverty rate,0.446,income_age
Fair Haven,Child poverty rate,0.446,income_age
Newhallville,Child poverty rate,0.447,income_age
Wooster Square/Mill River,Child poverty rate,0.463,income_age
Dixwell,Child poverty rate,0.493,income_age
West Rock,Child poverty rate,0.531,income_age
Hill,Child poverty rate,0.618,income_age
Downtown,Homeownership,0.093,households
Dwight,Homeownership,0.103,households
Dixwell,Homeownership,0.143,households
West Rock,Homeownership,0.146,households
West River,Homeownership,0.159,households
Fair Haven,Homeownership,0.199,households
Hill,Homeownership,0.214,households
Wooster Square/Mill River,Homeownership,0.215,households
Edgewood,Homeownership,0.234,households
Prospect Hill,Homeownership,0.272,households
East Rock,Homeownership,0.282,households
Fair Haven Heights,Homeownership,0.295,households
Newhallville,Homeownership,0.309,households
Annex,Homeownership,0.428,households
Beaver Hills,Homeownership,0.439,households
